AUB.AX,8.473728540540965E-4,709,0.9265744681682481
GLRE,8.291423805597821E-4,684,0.9768834373173675
SFG,0.0013319942542905177,684,0.9700616704462159
AMIC,7.747975704590057E-4,684,0.9328099815432024
GTS,0.004541265528372109,684,0.9110534246592128
LRE.L,0.0013573269077738425,709,0.965481007277209
EIG,0.0010084606016850107,684,0.952320671427807
AIZ,0.0011381162424844232,684,0.9772688805858167
NHF.AX,7.104131714998582E-4,709,0.9790292293560684
PRA,2.8152439182065194E-4,684,0.9183349438295497
TRUP,0.00672618122877658,296,0.866481386226559
AFL,7.536017871667701E-4,684,0.938847634148761
MIC.TO,0.0010800653215830213,681,0.9711016324935483
CNO,5.670120096692835E-4,684,0.9768593516696745
UNM,8.259153775356363E-4,684,0.9517968750285806
FAC,0.0016449797246134354,684,0.7521046568749299
SCRI,0.005794774921436033,684,0.8822925066805133
DCS.MU,0.002829325190581853,708,0.9814767680536183
XM8.F,0.001280615556479869,708,0.9801333391580481
XBTC,0.003337412612995222,709,0.9723976129817948
VISN,0.005083042836315968,684,0.914662559105263
VEND,0.003976219507729303,517,0.9345298848001428
DNAX,0.0018680996600267139,708,0.7199151407363269
IPG,7.053515354989683E-4,684,0.9543250343314953
YUME,0.001992580326761216,534,0.9642438274006492
PUB.PA,0.0015769322752315048,709,0.9546362855134002
MSHF,0.004848119055120283,660,0.9560258836906002
SAX.BE,0.0010669219197666684,709,0.9937944698184301
TRS.L,0.0016719347839992736,709,0.8888698350147656
IDI,0.0034441363998688754,684,0.9618842790748847
CL2.SG,0.00228601160070597,487,0.9669001120091018
XM8.SG,0.0017530052987844375,709,0.9781670779095143
0205.HK,0.002768296412966637,709,0.8973952707127308
DEN.DU,0.001172112383033603,709,0.9834807990819553
RVUE,0.0012019734187501947,684,0.9241910330182571
PHRM.L,0.001981752782990667,709,0.27850709285056074
RLOC,0.001076692384011076,684,0.9940975489482486
DCS.SG,0.002973473794588024,709,0.9795882697076334
OMC,0.0014619317160340243,684,0.9601859897378604
DEC.PA,0.004475565981182956,709,0.9777724094821727
CNET,0.003154029748945964,684,0.7553450593907871
FUEL,0.001985535800544427,503,0.9874866424857976
NMED,0.002739198162718795,343,0.9715891441661203
SZMK,0.003976975241647182,406,0.9615145381424085
SPN.V,0.0024891862531147167,684,0.9821780732583036
WPP.L,9.088073914379333E-4,709,0.9371495481814466
ZCNV.PA,0.009624045358418145,157,0.9654444798374011
NOC,0.0012423497255527704,684,0.9878839495836751
MTX.DE,0.0029765505471228623,709,0.9624496254666791
RTN1.SG,0.0018019683137233762,709,0.9895715310053199
EAD.DE,0.002176808392924105,599,0.9600975362185713
QY6.SG,0.002887094506583534,709,0.9575084760790858
NTH.BE,0.002158159848301765,708,0.9923072576725788
SWS.SG,0.0021955243683984037,708,0.9750639278929503
EOS.AX,0.004997740128982244,709,0.957131239239976
MAL.TO,0.0015982004648365873,681,0.9907547409747918
BA.L,0.0064748317161660235,709,0.0469031176674062
RR.L,0.006868514114891632,709,0.1988099116282594
UEH.F,7.994348225174894E-4,709,0.9357258516244679
NTH.DU,0.00208965409946319,709,0.9928267825157602
MTX.F,0.0018807922889606153,708,0.9585536318588512
ZC.PA,0.004024680476707599,709,0.9884814772333745
ZDC.BE,0.0039435553178059505,709,0.9885505287534961
QQ.L,0.0013990943389054697,709,0.9284724911726326
S51.SI,0.0035392178115788587,709,0.9905078983949961
EMRI,0.006092783247740307,594,0.9165650587460745
EAC,0.003626114861012925,684,0.9832893700042817
SDZ.V,0.007560613614936234,512,0.8644059923747706
QHL.AX,0.00577056047885165,709,0.7456876435945575
TIK,0.002556406884626732,684,0.8995085070576665
B8O.F,0.002939634234288092,708,0.9761740826040688
SDSS,0.00533298892134043,709,0.7544961239216809
ZDC.F,0.005246919570919928,709,0.9882016017469625
GDX.DU,0.002177239177763312,709,0.9944743066827996
LAT.PA,0.003919362153526041,709,0.9265088257636362
A04.SI,0.005289382223165497,708,0.9898438554735121
S63.SI,0.0025637522544214777,709,0.9613172912537916
SAF.PA,0.0027081444306792444,709,0.9766938776810776
MGGT.L,8.705688744740773E-4,709,0.8735550608920237
SNR.L,7.727829132886473E-4,709,0.9237899942512432
ZDC.DU,0.004293565563051022,709,0.9902040417304758
TXT,0.0024567429343779917,684,0.9694073678245676
BBD-B.TO,0.004834776124396864,681,0.9332747021123092
GY,0.0033845730249627616,547,0.8983583771242482
SWS.BE,0.001837409591262723,708,0.9735000777579397
HXL.PA,0.0037653565383526278,708,0.9634460640851797
ZDC.MU,0.003924745510736347,709,0.9884541709464656
MICT,0.0071726133031118815,684,0.8459111890768423
FTG.TO,0.0034992749621279204,681,0.9663725266629637
BS6.SI,0.0035576323127609545,698,0.9646157080300314
ERJ,0.002397508101029688,684,0.9413129319450898
TPAC,0.005637987760122722,709,0.943662184300962
COL,0.0010997379925905652,684,0.9778652518641263
TGI,0.002362362810217491,684,0.9649214806617405
DCO,0.0018109778060886683,684,0.8803573786941201
UTX,0.0017582920877745848,684,0.9675823729691467
ESL,0.0010625203524436144,684,0.9803851214679979
TATT,0.002649244038957804,684,0.8866215930199411
CVU,0.0014430783174201628,684,0.9514096855673697
MLER,0.005712693953789068,684,0.9342280130218855
AIR,0.0022170003121969773,684,0.9588959544968393
BEAV,0.0013707256382321077,684,0.981197422618748
HII,0.001286297832628652,684,0.9863887852500532
SPR,0.0016787816012824254,684,0.991513907274261
XLS,0.0029750117973142602,571,0.9617707967595674
TASR,0.004783882477827118,684,0.9712454263429097
PIVN,0.006865269943075017,709,0.07448109456744939
