350,33
351,206
110,32
111,198
112,5
113,189
910,77
911,66
912,79
913,57
914,212
120,115
121,94
122,137
123,134
124,135
125,136
130,196
131,45
132,8
133,98
134,83
135,186
136,132
810,53
812,39
813,48
814,131
815,40
820,129
821,11
822,199
823,179
824,100
825,86
826,28
827,99
830,180
710,109
831,184
711,173
832,182
712,174
833,181
834,183
713,190
714,78
835,144
836,54
715,192
716,82
837,177
840,214
720,2
841,38
721,118
842,146
722,70
843,110
723,24
844,201
724,23
845,202
725,30
846,52
726,128
727,150
728,151
729,149
850,103
730,9
851,102
610,3
731,49
852,104
611,4
732,51
733,62
734,84
735,68
736,91
737,88
738,16
739,29
740,194
620,71
741,207
621,96
742,107
622,56
743,130
744,13
623,143
624,113
745,191
625,187
626,125
627,95
628,205
750,17
751,25
630,172
510,59
752,97
631,117
511,60
753,69
632,112
633,31
512,63
754,121
755,41
513,58
634,80
514,61
756,64
635,87
515,22
757,74
636,81
758,18
516,50
637,211
759,213
760,27
761,170
520,122
762,141
763,44
521,120
522,85
764,195
523,111
765,178
766,65
524,92
525,123
767,200
526,90
768,171
769,116
527,124
528,188
770,114
771,162
772,7
773,6
410,126
411,158
774,209
412,156
775,185
776,152
413,160
414,157
415,161
416,159
417,75
418,76
419,176
420,105
421,106
422,12
423,55
424,46
425,35
426,36
427,37
430,108
431,1
310,10
311,89
432,147
312,93
433,197
313,26
434,101
314,67
315,208
316,193
317,154
318,142
440,163
441,167
320,203
442,164
321,204
443,165
322,175
323,140
444,166
324,139
445,168
325,138
446,169
326,34
447,127
327,133
448,148
449,153
330,14
210,43
331,210
332,155
333,15
340,73
341,72
342,145
343,119
344,47
345,42
346,19
347,21
348,20
